姓名,字,日文,简体,拼音,假名,女,異民族,"S01
身體","S01
知力","S01
武力","S01
魅力","S01
運勢","S02
知力","S02
武力","S02
魅力","S03
陸指","S03
水指","S03
武力","S03
知力","S03
政治","S03
魅力","S04
統率","S04
武力","S04
知力","S04
政治","S04
魅力","S05
武力","S05
知力","S05
政治","S05
魅力","S06
統率","S06
武力","S06
知力","S06
政治","S06
魅力","S07
武力","S07
知力","S07
政治","S07
魅力","S08
武力","S08
知力","S08
政治","S08
魅力","S09
統率","S09
武力","S09
知力","S09
政治","S10
統率","S10
武力","S10
知力","S10
政治","S10
魅力","S11
統率","S11
武力","S11
知力","S11
政治","S11
魅力","S12
統率","S12
武力","S12
知力","S12
政治",備註
阿會喃,,阿会喃,阿会喃,Ā Huìnán,アカイナン,,南蠻,,,,,,12,73,10,68,14,70,22,31,15,60,79,26,33,19,78,29,23,19,50,74,30,21,18,60,41,43,48,69,30,37,44,66,73,30,42,62,74,26,32,41,65,74,26,33,44,65,74,26,33,
阿貴,,阿貴,阿贵,Ā Guì,アキ,,氐,,,,,,,,,,,,,,,,,,,,,,,,36,74,36,29,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
晏明,,晏明,晏明,Yàn Míng,アンメイ,,,,,,,,,,,59,20,62,34,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韋康,,韋康,韦康,Wéi Kāng,イコウ,,,,,,,,,,,27,9,30,58,66,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韋昭,弘嗣,韋昭,韦昭,Wéi Zhāo,イショウ,,,,,,,,,,,,,,,,,,,,,,,,,,39,24,82,68,61,31,70,70,67,30,60,73,69,18,17,68,74,18,20,68,73,68,16,19,65,73,70,31,21,66,74,SAN12 家機版限定武將。
伊籍,機伯,伊籍,伊籍,Yī Jí,イセキ,,,74,86,18,28,75,81,27,88,72,70,21,84,80,62,57,22,83,84,72,27,81,88,76,55,27,77,87,77,46,79,83,86,28,73,85,85,25,24,73,85,31,23,75,85,86,29,24,80,86,84,29,24,80,86,
尹楷,,尹楷,尹楷,Yǐn Kǎi,インカイ,,,,,,,,,,,42,17,63,47,42,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
尹賞,,尹賞,尹赏,Yǐn Shǎng,インショウ,,,,,,,,,,,35,23,37,43,71,33,,,,,,34,44,68,44,30,32,42,72,39,31,42,58,38,34,55,68,54,51,54,60,67,49,46,57,68,53,51,44,61,66,53,51,44,62,66,
尹大目,,尹大目,尹大目,Yǐn Dàmù,インダイモク,,,,,,,,,,,,,,,,,50,61,72,65,40,55,67,70,50,62,49,69,77,43,36,69,29,73,18,48,52,60,5,9,33,51,6,10,37,50,56,4,9,33,51,48,24,9,33,53,SAN12 家機版限定武將。
尹奉,,尹奉,尹奉,Yǐn Fèng,インホウ,,,,,,,,,,,61,42,63,49,61,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
尹默,思潛,尹黙,尹默,Yǐn Mò,インモク,,,,,,,,62,11,31,22,7,20,73,87,30,23,20,72,90,36,17,73,85,47,19,28,73,87,38,26,74,53,56,22,66,78,63,13,17,65,78,11,15,65,77,62,11,15,65,77,62,26,15,66,77,
尹禮,,尹礼,尹礼,Yǐn Lǐ,インレイ,,,,,,,,,,,65,21,68,47,40,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
烏延,,烏延,乌延,Wū Yán,ウエン,,烏丸,,,,,,,,,,,,,,,,,,,,,,,,36,70,31,24,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
