name_key,name
S02_7312FF10,阿會喃
S03_70223115,阿會喃
S04_79263319,阿會喃
S05_78292319,阿會喃
S06_74302118,阿會喃
S07_60414348,阿會喃
S08_69303744,阿會喃
S09_66733042,阿會喃
S10_74263241,阿會喃
S11_74263344,阿會喃
S12_65742633,阿會喃
S06_74362927,阿貴
S03_62342727,晏明
S03_30586628,韋康
S06_24826861,韋昭
S07_31707067,韋昭
S08_30607369,韋昭
S09_18176874,韋昭
S10_20687368,韋昭
S11_19657370,韋昭
S12_31216674,韋昭
S01_74188628,伊籍
S02_2781FF88,伊籍
S03_21848062,伊籍
S04_22838472,伊籍
S05_27818876,伊籍
S06_27778777,伊籍
S07_46798386,伊籍
S08_28738585,伊籍
S09_25247385,伊籍
S10_23758586,伊籍
S11_24808684,伊籍
S12_29248086,伊籍
S03_63474231,尹楷
S03_37437133,尹賞
S05_34446844,尹賞
S06_32427239,尹賞
S07_31425838,尹賞
S08_34556854,尹賞
S09_51546067,尹賞
S10_46576853,尹賞
S11_44616653,尹賞
S12_51446266,尹賞
S04_61726540,尹大目
S05_55677050,尹大目
S06_49697743,尹大目
S07_36692973,尹大目
S08_18485260,尹大目
S09_05093351,尹大目
S10_10375056,尹大目
S11_09335148,尹大目
S12_24093353,尹大目
S03_63496154,尹奉
S02_1162FF31,尹默
S03_20738730,尹默
S04_20729036,尹默
S05_17738547,尹默
S06_28738738,尹默
S07_26745356,尹默
S08_22667863,尹默
S09_13176578,尹默
S10_15657762,尹默
S11_15657762,尹默
S12_26156677,尹默
S03_68474037,尹禮
S06_70312460,烏延
S05_09992395,于吉
S07_14726484,于吉
S08_14708390,于吉
S09_30109080,于吉
S11_06668895,于吉
S01_82722025,于禁
S02_5553FF40,于禁
S03_60525743,于禁
S04_74514860,于禁
S05_79714077,于禁
S06_74714175,于禁
S07_74716349,于禁
S08_80726550,于禁
S09_82767257,于禁
S10_77726347,于禁
S11_78705753,于禁
S12_83787457,于禁
S04_56445261,于詮
S05_58445162,于詮
S06_55414045,于詮
S07_67524853,于詮
S08_73494667,于詮
S09_67734236,于詮
S10_76423768,于詮
S11_76403967,于詮
S12_64764038,于詮
S03_61281419,于糜
S08_46827942,衛瓘
S09_69538179,衛瓘
S10_45817837,衛瓘
S11_46797828,衛瓘
S12_69467978,衛瓘
S04_73211631,越吉
S05_80151333,越吉
S06_77181624,越吉
S07_72341329,越吉
S08_80242638,越吉
S12_81882635,越吉
S07_54707362,袁遺
S08_56707666,袁遺
S09_61437176,袁遺
S10_38737669,袁遺
S11_40737670,袁遺
S01_71256392,袁胤
S02_2759FF74,袁胤
S03_25596265,袁胤
S04_24606365,袁胤
S05_30606166,袁胤
S06_34606565,袁胤
S07_29463640,袁胤
S08_23393947,袁胤
S09_27184243,袁胤
S10_15394543,袁胤
S11_14394146,袁胤
S12_32143941,袁胤
S04_57204636,閻宇
S05_61184727,閻宇
S06_51185219,閻宇
S07_73564363,閻宇
S08_54423634,閻宇
S09_70694654,閻宇
S10_64605620,閻宇
S11_61585920,閻宇
S12_52615159,閻宇
S11_17728383,袁渙
S01_73465289,袁熙
S02_6063FF50,袁熙
S03_58636552,袁熙
S04_54656453,袁熙
S05_60686473,袁熙
S06_57726775,袁熙
S07_57646762,袁熙
S08_59606768,袁熙
S09_65556472,袁熙
S10_54687066,袁熙
S11_51636564,袁熙
S12_66516365,袁熙
S10_86383350,閻行
S11_84615869,閻行
S12_76846658,閻行
S06_75514164,閻柔
S07_36566374,閻柔
S08_32626478,閻柔
S09_76547175,閻柔
S10_50707380,閻柔
S11_57707378,閻柔
S12_71577173,閻柔
S01_89956095,袁術
S02_8069FF50,袁術
S03_79676153,袁術
S04_63676155,袁術
S05_71691483,袁術
S06_59711390,袁術
S07_68643447,袁術
S08_66623540,袁術
S09_49667115,袁術
S10_66721744,袁術
S11_65611639,袁術
S12_44656516,袁術
S03_39708361,閻象
S08_28636656,閻象
S09_29266673,閻象
S10_27697462,閻象
S11_27707451,閻象
S12_30277174,閻象
S01_82876398,袁尚
S02_6864FF52,袁尚
S03_69635751,袁尚
S04_72465260,袁尚
S05_71474277,袁尚
S06_72683681,袁尚
S07_47725673,袁尚
S08_73444276,袁尚
S09_62734434,袁尚
S10_70504479,袁尚
S11_71423872,袁尚
S12_63754238,袁尚
S01_35825498,袁紹
S02_8170FF70,袁紹
S03_80716461,袁紹
S04_80725280,袁紹
S05_81774992,袁紹
S06_67765996,袁紹
S07_80767284,袁紹
S08_68757790,袁紹
S09_80687577,袁紹
S10_69767791,袁紹
S11_69707390,袁紹
S12_81697073,袁紹
S01_76695794,袁譚
S02_5755FF52,袁譚
S03_58544853,袁譚
S04_54445954,袁譚
S05_63494874,袁譚
S06_59553878,袁譚
S07_70363756,袁譚
S08_70334056,袁譚
S09_58702734,袁譚
S10_68304057,袁譚
S11_69303559,袁譚
S12_60693035,袁譚
S01_65306530,閻圃
S02_3380FF42,閻圃
S03_36807848,閻圃
S04_32807755,閻圃
S05_31808677,閻圃
S06_35778872,閻圃
S07_26858169,閻圃
S08_31808367,閻圃
S09_32278278,閻圃
S10_28827869,閻圃
S11_25827970,閻圃
S12_29258279,閻圃
S07_37412538,袁燿
S08_43395262,袁燿
S09_45524354,袁燿
S10_42455059,袁燿
S11_50415153,袁燿
S02_7032FF62,王威
S03_40586243,王威
S06_60685436,王威
S07_60535152,王威
S08_63605368,王威
S09_65705549,王威
S10_65605464,王威
S11_70595266,王威
S12_60706252,王威
S11_26826873,王異
S12_73518268,王異
S03_52647362,王允
S04_39698567,王允
S05_29729278,王允
S06_18779685,王允
S07_53667881,王允
S08_15678278,王允
S09_24077289,王允
S10_05737877,王允
S11_06678076,王允
S12_26066880,王允
S11_81423572,王悦
S02_3158FF24,王楷
S03_32546025,王楷
S08_52565854,王含
S09_46434758,王含
S03_72694771,王基
S04_69674553,王基
S05_76694861,王基
S06_62705360,王基
S07_78746367,王基
S08_78726973,王基
S09_77757576,王基
S10_75747675,王基
S11_78767575,王基
S12_77728685,王基
S04_61453045,王頎
S05_63423046,王頎
S06_57443535,王頎
S07_73536478,王頎
S08_68547367,王頎
S09_67716174,王頎
S10_66637673,王頎
S11_67617068,王頎
S02_4533FF43,王匡
S03_51403545,王匡
S06_67546471,王匡
S07_68635876,王匡
S08_58607166,王匡
S09_64506171,王匡
S10_57646779,王匡
S11_55617080,王匡
S09_43063676,王業
S10_06467250,王業
S11_06356649,王業
S04_48736871,王經
S05_42776374,王經
S06_47657772,王經
S07_78677580,王經
S08_68647476,王經
S09_70616873,王經
S10_62677577,王經
S11_63667576,王經
S12_67637175,王經
S12_53377375,王元姬
S03_66473854,王垢
S02_5553FF62,王伉
S03_58557067,王伉
S05_47606770,王伉
S06_43606966,王伉
S07_58536354,王伉
S08_58586668,王伉
S09_68665252,王伉
S10_58536961,王伉
S11_60616265,王伉
S12_76606162,王伉
S04_41628055,王渾
S05_65607671,王渾
S06_32688049,王渾
S07_81707668,王渾
S08_76727772,王渾
S09_72777268,王渾
S10_77727470,王渾
S11_76727469,王渾
S12_74716374,王渾
S01_82198726,王粲
S02_2985FF70,王粲
S03_30708668,王粲
S04_26828569,王粲
S05_23838667,王粲
S06_28788067,王粲
S07_16838760,王粲
S08_16828551,王粲
S09_07038183,王粲
S10_04828457,王粲
S11_03798056,王粲
S12_15037980,王粲
S03_79645470,王子服
S05_68646178,王子服
S02_4050FF64,王脩
S03_42656869,王脩
S04_40666769,王脩
S05_39626769,王脩
S06_34676667,王脩
S07_46758063,王脩
S08_40687672,王脩
S09_42657176,王脩
S10_27767865,王脩
S11_27767863,王脩
S12_54277778,王脩
S04_43816263,王戎
S05_44816055,王戎
S06_41776361,王戎
S07_78784953,王戎
S08_67725460,王戎
S09_65427270,王戎
S10_36725648,王戎
S11_36725549,王戎
S08_26858172,王肅
S09_47268176,王肅
S10_21807876,王肅
S11_22757871,王肅
S12_36227678,王肅
S04_83797282,王濬
S05_84806480,王濬
S06_83766477,王濬
S07_84756270,王濬
S08_72838084,王濬
S09_82738270,王濬
S10_71797078,王濬
S11_73777175,王濬
S12_81737771,王濬
S03_64523973,王昌
S09_31286882,王祥
S10_19657684,王祥
S11_19687884,王祥
S12_23196878,王祥
S03_62595041,王植
S09_08146670,王沈
S04_69504751,王真
S05_69283738,王真
S08_76423563,區星
S10_71312940,區星
S11_70382953,區星
S12_63703833,區星
S01_93951542,王雙
S02_8918FF22,王雙
S03_88212029,王雙
S04_90242334,王雙
S05_89182132,王雙
S06_89152631,王雙
S07_84162721,王雙
S08_87202740,王雙
S09_66892820,王雙
S10_89182024,王雙
S11_88192227,王雙
S12_67881922,王雙
S03_53617268,王則
S02_5234FF53,王忠
S03_55373450,王忠
S08_60333439,王忠
S09_45582325,王忠
S10_58212920,王忠
S11_57212749,王忠
S04_70564960,王昶
S05_71534259,王昶
S06_57524060,王昶
S07_76728564,王昶
S08_67707475,王昶
S09_71637083,王昶
S10_61708378,王昶
S11_64797975,王昶
S12_74647979,王昶
S09_52577250,王韜
S10_44705460,王韜
S11_59725149,王韜
S11_80463271,王桃
S06_68412558,王同
S08_70444872,王惇
S09_70634453,王惇
S10_65416253,王惇
S11_66466156,王惇
S12_60664661,王惇
S09_66645743,王買
S01_69684822,王平
S02_7349FF80,王平
S03_72675981,王平
S04_75675578,王平
S05_79715471,王平
S06_76716171,王平
S07_82747164,王平
S08_75765956,王平
S09_79778154,王平
S10_76765650,王平
S11_79765851,王平
S12_83797658,王平
S03_63736882,王甫
S04_52736881,王甫
S05_42756980,王甫
S06_34757374,王甫
S07_36777375,王甫
S08_43767772,王甫
S09_59367677,王甫
S10_43787573,王甫
S11_41797873,王甫
S12_62417978,王甫
S03_57412831,王方
S09_66693736,王門
S10_67324052,王門
S11_64314149,王門
S12_65643141,王門
S08_74728379,王淩
S09_70617283,王淩
S10_60718475,王淩
S11_64708271,王淩
S12_74647182,王淩
S01_63266220,王累
S02_1982FF74,王累
S03_23808578,王累
S04_27829177,王累
S05_26808976,王累
S06_28768969,王累
S07_31586256,王累
S08_30768170,王累
S09_29317779,王累
S10_30747772,王累
S11_30788073,王累
S12_28307980,王累
S01_65176975,王朗
S02_4860FF48,王朗
S03_46606262,王朗
S04_41636263,王朗
S05_50616263,王朗
S06_29517365,王朗
S07_38788163,王朗
S08_41707148,王朗
S09_43377083,王朗
S10_34768149,王朗
S11_35798151,王朗
S12_47357981,王朗
S06_80614981,於夫羅
S07_70213468,於夫羅
S08_70213460,於夫羅
S10_68083464,於夫羅
S12_72682138,於夫羅
S10_40788573,溫恢
S11_36738676,溫恢
S12_62367486,溫恢
S07_46795632,何晏
S08_33683816,何晏
S09_10367472,何晏
S10_27726803,何晏
S11_30717008,何晏
