ID,姓名,顏,假名,齡,體力,戰鬥力,統率力,用兵力
0,項羽,0,,26,100,100,84,80
1,劉邦,1,,41,67,56,99,67
2,黥布,2,,39,90,91,74,73
3,韓信,3,,36,81,81,93,96
4,范增,4,,72,39,22,87,92
5,章邯,5,,43,73,71,81,90
6,項莊,6,,29,78,76,56,59
7,司馬欣,7,,40,69,62,67,72
8,董翳,8,,38,73,65,66,70
9,章平,9,,24,75,66,64,58
10,歇,10,,55,54,35,59,41
11,陳余,11,,44,66,59,69,55
12,張耳,12,,54,53,49,76,69
13,蕭公角,13,,36,76,72,70,76
14,田假,14,,41,67,51,46,45
15,鄭昌,15,,39,71,54,47,49
16,周殷,16,,37,76,68,73,78
17,鍾離昧,17,,37,85,86,79,82
18,夏說,18,,46,63,50,45,61
19,李左車,19,,49,64,57,68,72
20,項聲,20,,25,77,72,62,66
21,曹咎,21,,39,74,67,62,68
22,張逸,22,,47,62,32,31,32
23,武涉,23,,37,64,33,33,37
24,張良,24,,38,61,37,90,94
25,陳嬰,25,,32,70,45,55,45
26,項伯,26,,48,65,58,72,61
27,夏侯嬰,27,,39,80,78,75,77
28,蕭何,28,,43,67,36,78,48
29,周勃,29,,38,71,61,70,67
30,盧綰,30,,41,69,63,73,63
31,曹參,31,,39,76,80,76,84
32,審食其,32,,35,72,52,50,42
33,隨何,33,,30,70,38,48,43
34,周蘭,34,,34,74,65,53,51
35,陳平,35,,33,74,60,71,79
36,魏無知,36,,38,63,34,34,35
37,灌嬰,37,,40,75,79,77,86
38,紀信,38,,36,75,67,43,51
39,雍齒,39,,40,72,70,50,80
40,周苛,40,,36,76,65,58,66
41,樅公,41,,35,75,63,55,57
42,袁生,42,,41,64,40,36,68
43,鄭忠,43,,45,65,44,38,54
44,劉賈,44,,44,67,62,71,64
45,柴武,45,,36,76,77,69,77
46,楊喜,46,,35,76,73,43,58
47,呂馬童,47,,34,76,67,46,50
48,王翳,48,,37,76,74,56,74
49,楊武,49,,36,75,70,42,55
50,呂勝,50,,35,76,69,42,53
51,季布,51,,42,82,83,80,79
52,周昌,52,,35,73,60,54,54
53,叔孫通,53,,60,47,26,44,46
54,婁敬,54,,34,71,41,41,60
55,彭越,55,,49,73,70,75,88
56,孔熙,56,,35,76,75,67,75
57,陳賀,57,,34,77,74,65,74
58,楊,58,,34,66,39,35,38
59,申陽,59,,42,68,60,47,62
60,共敖,60,,40,71,58,52,62
61,張敖,61,,27,72,59,61,40
62,田榮,62,,48,69,59,64,69
63,龍且,63,,39,88,89,77,70
64,王陵,64,,47,71,73,74,78
65,貫高,65,,52,57,46,58,47
66,田橫,66,,45,66,55,78,71
67,田廣,67,,25,73,53,61,39
68,王吸,68,,35,75,63,54,56
69,薛歐,69,,34,74,61,53,52
70,任敖,70,,38,75,69,60,59
71,田既,71,,36,74,64,44,55
72,田光,72,,42,66,43,40,46
73,田吸,73,,37,74,64,45,52
74,侯公,74,,56,52,28,39,44
75,魏豹,75,,38,73,66,57,71
76,薛公,76,,37,72,62,51,48
77,丁公,77,,39,71,61,49,49
78,欒布,78,,38,75,71,63,76
79,藏荼,79,,40,73,69,66,73
80,司馬邛,80,,37,75,66,57,64
81,樊噲,81,,37,87,88,75,65
82,靳疆,82,,37,74,68,59,60
83,吳芮,83,,51,62,48,49,47
84,酈商,84,,50,65,64,60,63
85,蒯通,85,,50,59,30,37,43
86,酈食其,86,,63,45,24,50,57
87,呂澤,87,,46,62,47,52,44
88,陸賈,88,,36,72,42,65,56
89,樓煩,89,,31,83,85,51,50
90,韓王信,90,,38,74,68,68,75
91,利幾,91,,39,72,57,48,53
