ID,姓名,顏,政治,財政,補給,建設,指揮,步兵,騎兵,砲兵,冷靜,勇敢,魅力,幸運,城市,國籍
0,Napoleon,0,B,C,B,A,A,A,C,A,冷靜,勇氣,魅力,幸運,馬賽,法蘭西
1,Joseph,1,C,C,C,B,C,C,D,D,,,,,馬賽,法蘭西
2,Lucien,2,B,B,C,C,C,D,D,D,,,,,巴黎,法蘭西
3,Louis,3,C,D,B,C,C,C,D,D,,,,,馬賽,法蘭西
4,Jerome,4,C,D,C,C,C,C,C,C,單純,,,,馬賽,法蘭西
5,Eugene,5,C,C,C,C,B,C,C,D,,,魅力,,巴黎,法蘭西
6,Serurier,6,C,C,B,C,B,B,C,C,,,,,馬賽,法蘭西
7,Carnot,7,B,B,B,C,B,C,C,C,,,,,巴黎,法蘭西
8,Berthier,8,C,C,A,B,A,C,D,C,冷靜,,,,馬賽,法蘭西
9,Talleyrand,9,A,A,D,D,D,D,D,D,冷靜,,魅力,,巴黎,法蘭西
10,Moncey,10,C,C,B,C,C,B,C,C,,,,,布倫,法蘭西
11,Barras,11,B,C,C,C,C,D,D,D,,膽小,,,巴黎,法蘭西
12,Lefebvre,12,C,C,B,C,C,B,B,C,,勇氣,,,里爾,法蘭西
13,Augereau,13,C,D,C,C,B,B,C,C,單純,,,,馬賽,法蘭西
14,La Mette,14,B,B,C,B,D,C,C,C,,,,,巴黎,法蘭西
15,Massena,15,C,C,C,B,C,A,C,C,,勇氣,,,馬賽,法蘭西
16,Fouche,16,A,B,C,C,D,D,D,D,冷靜,膽小,,,巴黎,法蘭西
17,Bernadotte,17,B,C,B,B,B,B,B,C,,,魅力,幸運,里昂,法蘭西
18,Victor,18,B,B,B,C,C,D,B,C,,,,,馬賽,法蘭西
19,St. Cyr,19,C,B,B,C,C,C,B,D,,,,,里爾,法蘭西
20,Dupont,20,C,B,C,C,B,C,C,C,,,,,里昂,法蘭西
21,D'Erlon,21,D,C,C,D,D,B,C,C,,,,,布倫,法蘭西
22,MacDonald,22,D,C,C,C,C,B,B,C,,,,幸運,聖美祿,法蘭西
23,Grouchy,23,B,C,C,C,D,C,B,D,單純,,,,里昂,法蘭西
24,Bessieres,24,D,C,D,C,D,C,A,C,,勇氣,,,馬賽,法蘭西
25,Milhaud,25,D,D,C,C,C,D,B,C,,,,,里昂,法蘭西
26,Murat,26,C,D,C,D,C,C,A,D,單純,勇氣,魅力,,馬賽,法蘭西
27,Desaix,27,C,C,B,B,B,B,C,C,,勇氣,魅力,,里昂,法蘭西
28,Mortier,28,B,C,C,C,B,B,C,C,,,,,里爾,法蘭西
29,Mobrogue,29,C,C,C,D,D,C,B,D,,,,,布倫,法蘭西
30,Soult,30,C,C,B,B,B,A,C,B,冷靜,,,,里爾,法蘭西
31,Ney,31,C,C,B,B,B,B,B,C,單純,勇氣,,,里爾,法蘭西
32,Friant,32,D,C,B,C,C,C,C,B,,,魅力,幸運,里爾,法蘭西
33,Lannes,33,C,C,B,B,B,B,C,B,,勇氣,,,馬賽,法蘭西
34,Vandamme,34,C,D,C,C,C,C,B,C,單純,,,,聖美祿,法蘭西
35,Cambronne,35,C,D,B,C,C,B,C,C,,,,,里爾,法蘭西
36,Kellermann,36,C,C,C,D,C,C,B,D,,,,,馬賽,法蘭西
37,Suchet,37,C,B,C,B,C,C,C,C,,,,,馬賽,法蘭西
38,Davout,38,C,C,B,B,A,A,C,B,冷靜,,,,里爾,法蘭西
39,Bourrienne,39,C,B,C,B,C,C,D,D,,膽小,,,巴黎,法蘭西
40,Montbrun,40,C,D,C,C,C,D,B,C,,,,,布倫,法蘭西
41,Moreau,41,C,C,C,B,B,B,C,B,,,,,里昂,法蘭西
42,Junot,42,D,D,C,C,B,B,C,C,,勇氣,,,馬賽,法蘭西
43,Rapp,43,D,D,C,C,C,C,D,C,,,,,巴黎,法蘭西
44,Reynier,44,C,D,C,B,C,C,D,B,,,,,聖美祿,法蘭西
45,Sebastiani,45,B,C,D,B,C,C,B,D,,,,,馬賽,法蘭西
46,Bruyes,46,B,D,C,C,C,C,C,D,,,,,巴黎,法蘭西
47,Marmont,47,B,C,B,C,B,B,C,B,,,魅力,,馬賽,法蘭西
48,Girard,48,C,C,C,B,C,C,C,C,,,,,里昂,法蘭西
49,LaSalle,49,D,D,D,C,C,C,B,D,,勇氣,,,馬賽,法蘭西
50,Ledru,50,B,C,B,C,C,C,D,C,,,,,馬賽,法蘭西
51,Caulaincourt,51,C,C,B,D,C,C,B,D,,,,,里爾,法蘭西
52,Gourgaud,52,B,C,C,C,C,D,D,B,冷靜,,,,巴黎,法蘭西
53,Montholon,53,D,D,C,C,C,C,C,C,,,,,里昂,法蘭西
54,La Bedouir,54,C,D,C,C,C,C,D,D,,,,,聖美祿,法蘭西
55,George III,58,C,C,D,C,D,D,D,D,單純,,,,倫敦,英格蘭
56,George IV,59,C,C,D,C,C,C,D,D,單純,,,,倫敦,英格蘭
57,Victoria,60,A,A,B,B,B,B,B,C,冷靜,勇氣,魅力,幸運,倫敦,英格蘭
58,Addington,61,B,B,A,C,D,D,D,D,,膽小,,,倫敦,英格蘭
59,Sheridan,62,B,C,D,C,D,D,D,D,,膽小,魅力,,倫敦,英格蘭
60,Picton,63,C,D,C,B,B,B,C,B,,勇氣,,,利物浦,英格蘭
61,Pitt,64,A,A,B,B,D,D,D,D,冷靜,,魅力,,倫敦,英格蘭
62,Basaust,65,B,B,B,C,C,C,C,B,,,,,倫敦,英格蘭
63,Bylandt,66,D,D,C,C,C,C,C,C,,,,,直布羅陀,英格蘭
64,Gordon,67,D,D,C,C,C,B,D,D,,勇氣,魅力,,愛丁堡,英格蘭
65,Orange,68,B,C,C,B,C,B,C,C,,,,,倫敦,英格蘭
66,Moore,69,C,B,C,C,B,B,C,B,,勇氣,,,直布羅陀,英格蘭
67,Uxbridge,70,D,D,C,C,B,D,B,D,單純,,,,愛丁堡,英格蘭
68,Lambert,71,C,B,C,C,D,B,D,C,,,,,布里斯托爾,英格蘭
69,Beresford,72,C,B,B,B,B,B,C,C,,,,,直布羅陀,英格蘭
70,Wellington,73,B,B,A,A,A,A,B,B,冷靜,,,幸運,倫敦,英格蘭
71,Maitland,74,D,D,C,D,C,C,C,B,,,,,愛丁堡,英格蘭
72,Cornwallis,75,C,D,C,B,C,C,C,B,,,,,都柏林,英格蘭
73,Alten,76,D,D,D,D,C,D,B,C,,,,,利物浦,英格蘭
74,Phelippeaux,77,C,C,B,B,D,C,D,B,冷靜,,,,直布羅陀,英格蘭
75,Vandeleur,78,C,D,D,D,D,D,B,D,,,,,倫敦,英格蘭
76,Vivian,79,C,D,D,D,D,C,C,D,,,,,都柏林,英格蘭
77,Somerset,80,D,C,B,C,C,D,B,D,,,,,利物浦,英格蘭
