ID,姓名,顏,年齡,身體,知力,武力,信服力,運勢,忠誠度,城市,勢力,君主,水軍,兵士數,兵忠誠,兵武力,兵武裝
0,Cao Cao,3,41,88,93,94,100,97,100,20,1,◎,○,10000,10,10,10
1,Sun Jian,8,40,37,85,96,98,26,100,0,0,,○,5000,10,10,10
2,Liu Bei,2,35,85,95,63,99,71,100,10,3,◎,○,500,10,10,10
3,Yuan Shao,9,51,35,54,82,98,86,100,4,4,◎,○,2300,10,10,10
4,Yuan Shu,15,42,89,60,95,95,60,100,29,5,◎,○,20000,10,10,10
5,Liu Biao,50,44,41,74,46,96,25,100,39,6,◎,○,10000,10,10,10
6,Dong Zhuo,6,53,73,58,91,96,61,100,0,0,,○,20000,10,10,10
7,Liu Yan,21,59,57,84,32,95,61,100,0,0,,○,5000,10,10,10
8,Ma Teng,25,36,95,48,97,96,38,100,26,8,◎,○,15000,10,10,10
9,Gongsun Zan,28,43,84,67,70,89,28,100,3,9,◎,○,20000,10,10,10
10,Xiahou Dun,29,39,89,64,82,79,67,82,20,1,,○,1500,10,10,10
11,Xiahou Yuan,37,38,82,60,92,74,37,87,20,1,,○,1500,10,10,10
12,Cao Ren,49,36,74,64,56,87,59,89,13,1,,○,1100,10,10,10
13,Cao Ang,51,35,76,29,48,85,33,95,19,1,,○,900,10,10,10
14,Cao Hong,9134,21,61,59,61,92,16,99,20,1,,,700,10,10,10
15,Gou Yu,34,33,65,96,24,37,22,92,20,1,,,100,10,10,10
16,Cheng Yu,46,31,55,92,35,44,45,81,13,1,,,200,10,10,10
17,Gan Jin,6330,37,82,20,72,25,28,85,19,1,,○,1000,10,10,10
18,Dian Wei,6300,36,95,28,96,32,19,96,20,1,,○,500,10,10,10
19,Chen Gong,9141,42,69,89,28,33,16,12,7,11,,,100,10,10,10
20,Liu Ye,8111,43,85,74,25,57,24,88,13,1,,,300,10,10,10
21,Xun You,9242,29,65,89,27,48,45,87,19,1,,,200,10,10,10
