                                             三國志III 人物表                                              
┏━━━━━┳━━━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┳━━━━━━┓
┃ ID  ┃ 姓名   ┃   顏 ┃ 野心 ┃ 運氣 ┃ 冷靜 ┃ 勇猛 ┃ 陸指 ┃ 水指 ┃ 武力 ┃ 智力 ┃ 政治 ┃ 魅力 ┃ 相性 ┃ 義理 ┃
┡━━━━━╇━━━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━╇━━━━━━┩
│  0  │ 呂布   │  162 │    3 │    3 │    2 │    0 │   80 │   79 │  100 │   21 │   13 │   12 │   14 │    2 │
│  1  │ 袁術   │    4 │    3 │    1 │    1 │    1 │   71 │   63 │   79 │   67 │   61 │   53 │  140 │   39 │
│  2  │ 袁紹   │    2 │    2 │    2 │    1 │    3 │   71 │   71 │   80 │   71 │   64 │   61 │  101 │   35 │
│  3  │ 劉表   │  159 │    0 │    2 │    1 │    0 │   70 │   67 │   70 │   65 │   74 │   69 │   45 │   76 │
│  4  │ 張魯   │  122 │    2 │    2 │    2 │    0 │   73 │   70 │   72 │   80 │   69 │   89 │   10 │   77 │
│  5  │ 李傕   │  164 │    1 │    3 │    1 │    1 │   49 │   20 │   63 │   42 │   40 │   26 │    1 │   31 │
│  6  │ 曹操   │  102 │    3 │    3 │    3 │    1 │   93 │   59 │   89 │   94 │   90 │   98 │   25 │   70 │
│  7  │ 劉璋   │  157 │    0 │    3 │    1 │    0 │   47 │   21 │   52 │   51 │   63 │   82 │   55 │   84 │
│  8  │ 孫策   │  108 │    3 │    3 │    0 │    1 │   82 │   96 │   91 │   85 │   74 │   89 │  127 │   90 │
│  9  │ 劉備   │  160 │    2 │    3 │    3 │    0 │   60 │   29 │   68 │   78 │   82 │   99 │   75 │  100 │
│ 10  │ 劉繇   │  193 │    0 │    3 │    1 │    0 │   18 │    6 │   20 │   41 │   53 │   22 │  105 │   25 │
│ 11  │ 王朗   │    9 │    2 │    2 │    1 │    2 │   43 │   11 │   46 │   60 │   62 │   62 │   32 │   47 │
│ 12  │ 公孫瓚 │   63 │    2 │    1 │    1 │    2 │   67 │   28 │   71 │   70 │   64 │   58 │   60 │   60 │
│ 13  │ 孔融   │   66 │    1 │    0 │    2 │    0 │   67 │   63 │   58 │   83 │   76 │   64 │   19 │   56 │
│ 14  │ 馬騰   │  139 │    2 │    2 │    1 │    0 │   89 │   50 │   94 │   53 │   49 │   88 │   70 │   91 │
│ 15  │ 嚴白虎 │  194 │    2 │    3 │    1 │    1 │   69 │   28 │   74 │   52 │   47 │   59 │   40 │   63 │
│ 16  │ 魏延   │   51 │    1 │    3 │    1 │    3 │   80 │   75 │   92 │   45 │   28 │   41 │   86 │   30 │
│ 17  │ 文醜   │  144 │    2 │    2 │    1 │    0 │   86 │   72 │   91 │   19 │   10 │   56 │  101 │   70 │
│ 18  │ 蔡瑁   │   70 │    1 │    3 │    0 │    3 │   67 │   85 │   70 │   68 │   75 │   54 │   36 │   81 │
│ 19  │ 嚴顏   │   56 │    1 │    2 │    1 │    3 │   87 │   73 │   86 │   71 │   68 │   76 │   68 │   80 │
│ 20  │ 郭圖   │   18 │    1 │    2 │    2 │    0 │   31 │    8 │   34 │   76 │   81 │   40 │  105 │   43 │
│ 21  │ 太史慈 │  110 │    2 │    0 │    2 │    1 │   81 │   73 │   94 │   67 │   59 │   70 │  120 │   77 │
│ 22  │ 吳籣   │   69 │    1 │    3 │    1 │    2 │   85 │   72 │   88 │   43 │   42 │   54 │   65 │   70 │
│ 23  │ 李恢   │  180 │    1 │    3 │    1 │    3 │   72 │   70 │   70 │   88 │   76 │   78 │   65 │   80 │
│ 24  │ 夏侯惇 │   24 │    2 │    1 │    3 │    1 │   90 │   76 │   95 │   60 │   54 │   75 │   25 │   90 │
│ 25  │ 關羽   │   29 │    1 │    0 │    3 │    1 │  100 │   78 │   98 │   82 │   64 │   96 │   75 │  100 │
│ 26  │ 王修   │ D098 │    1 │    2 │    1 │    0 │   37 │   15 │   42 │   65 │   68 │   69 │  148 │   74 │
│ 27  │ 于禁   │  196 │    1 │    3 │    2 │    0 │   62 │   19 │   60 │   52 │   57 │   43 │   28 │   54 │
│ 28  │ 金旋   │   49 │    1 │    1 │    1 │    2 │   40 │   13 │   52 │   27 │   25 │   30 │  105 │   51 │
│ 29  │ 袁胤   │  176 │    2 │    0 │    1 │    1 │   23 │   10 │   25 │   59 │   62 │   65 │  140 │   70 │
│ 30  │ 蒯良   │   11 │    2 │    1 │    1 │    2 │   27 │   10 │   30 │   72 │   80 │   58 │   40 │   60 │
│ 31  │ 華歆   │   12 │    2 │    1 │    1 │    3 │   26 │   12 │   28 │   62 │   76 │   31 │    9 │   33 │
│ 32  │ 賈詡   │   13 │    2 │    1 │    2 │    3 │   81 │   72 │   40 │   94 │   87 │   67 │    8 │   59 │
│ 33  │ 郭嘉   │   15 │    2 │    3 │    1 │    2 │   32 │    6 │   36 │   80 │   97 │   82 │   25 │   90 │
│ 34  │ 郭汜   │   16 │    2 │    1 │    2 │    3 │   59 │   20 │   61 │   33 │   33 │   37 │    1 │   49 │
│ 35  │ 霍峻   │ 8C64 │    1 │    1 │    2 │    1 │   62 │   18 │   67 │   65 │   52 │   73 │   60 │   70 │
│ 36  │ 王楷   │ D65A │    1 │    2 │    2 │    0 │   29 │    8 │   32 │   54 │   60 │   25 │   18 │   47 │
│ 37  │ 沮授   │  104 │    2 │    0 │    1 │    2 │   71 │   69 │   60 │   85 │   73 │   75 │   97 │   75 │
│ 38  │ 郝萌   │ 9DCA │    1 │    3 │    1 │    2 │   46 │   13 │   60 │   51 │   53 │   62 │    5 │   60 │
│ 39  │ 夏侯淵 │   20 │    2 │    0 │    2 │    2 │   86 │   74 │   90 │   58 │   55 │   74 │   25 │   92 │
│ 40  │ 夏侯恩 │   21 │    1 │    3 │    2 │    0 │   58 │   27 │   60 │   62 │   64 │   75 │   26 │   89 │
│ 41  │ 尹奉   │ 8130 │    1 │    3 │    1 │    3 │   61 │   42 │   63 │   49 │   61 │   54 │   20 │   73 │
│ 42  │ 夏侯楙 │ 98F8 │    2 │    0 │    1 │    2 │   37 │   13 │   54 │   35 │   40 │   27 │   25 │   35 │
│ 43  │ 韓胤   │ CA58 │    1 │    3 │    0 │    1 │   29 │   12 │   41 │   54 │   62 │   23 │  138 │   58 │
│ 44  │ 桓楷   │ C4E8 │    1 │    3 │    2 │    2 │   36 │   25 │   39 │   51 │   51 │   69 │  135 │   65 │
│ 45  │ 韓浩   │ 9C75 │    2 │    0 │    1 │    3 │   59 │   21 │   62 │   45 │   33 │   47 │   20 │   65 │
│ 46  │ 韓遂   │   34 │    0 │    3 │    2 │    0 │   72 │   70 │   70 │   62 │   64 │   78 │   70 │   72 │
│ 47  │ 韓嵩   │   35 │    1 │    3 │    2 │    0 │   30 │   11 │   38 │   71 │   82 │   57 │   40 │   51 │
│ 48  │ 韓暹   │ 864B │    1 │    3 │    1 │    1 │   45 │   16 │   56 │   38 │   27 │   45 │   10 │   27 │
│ 49  │ 闞澤   │   36 │    1 │    3 │    1 │    3 │   52 │   60 │   45 │   78 │   85 │   72 │  132 │   69 │
│ 50  │ 韓當   │  221 │    1 │    3 │    1 │    2 │   59 │   34 │   60 │   42 │   63 │   56 │  130 │   83 │
│ 51  │ 簡雍   │  218 │    2 │    1 │    2 │    1 │   36 │   11 │   42 │   68 │   73 │   79 │   74 │   82 │
│ 52  │ 樂進   │  195 │    1 │    2 │    1 │    1 │   74 │   70 │   74 │   39 │   32 │   76 │   22 │   57 │
│ 53  │ 樂就   │ 88C0 │    1 │    3 │    2 │    0 │   67 │   32 │   70 │   51 │   47 │   50 │  135 │   59 │
│ 54  │ 顏良   │   42 │    2 │    3 │    1 │    0 │   84 │   71 │   87 │   32 │   20 │   55 │  101 │   70 │
│ 55  │ 麴義   │ 811C │    1 │    2 │    0 │    3 │   65 │   24 │   73 │   39 │   31 │   53 │  108 │   63 │
│ 56  │ 紀靈   │   47 │    2 │    0 │    1 │    2 │   70 │   70 │   70 │   35 │   30 │   50 │  140 │   62 │
│ 57  │ 鞏志   │ DD19 │    1 │    2 │    1 │    3 │   40 │   19 │   44 │   63 │   58 │   50 │   92 │   42 │
│ 58  │ 姜敘   │ 89DA │    1 │    3 │    1 │    3 │   72 │   71 │   79 │   54 │   41 │   70 │   19 │   70 │
│ 59  │ 橋蕤   │ 8132 │    1 │    0 │    1 │    1 │   62 │   24 │   67 │   60 │   51 │   48 │  137 │   53 │
│ 60  │ 許攸   │   46 │    2 │    1 │    1 │    3 │   40 │   21 │   45 │   61 │   76 │   42 │   10 │   47 │
│ 61  │ 蒯越   │   10 │    1 │    3 │    1 │    3 │   26 │    9 │   29 │   74 │   81 │   60 │   40 │   64 │
│ 62  │ 魏續   │ 8513 │    1 │    1 │    1 │    3 │   68 │   20 │   72 │   46 │   32 │   40 │   11 │   41 │
│ 63  │ 虞翻   │   53 │    2 │    1 │    2 │    0 │   32 │   15 │   40 │   78 │   80 │   76 │  132 │   79 │
│ 64  │ 王威   │ DD32 │    1 │    3 │    1 │    2 │   36 │   21 │   40 │   58 │   62 │   43 │   35 │   60 │
│ 65  │ 嚴輿   │ 8635 │    2 │    0 │    0 │    2 │   62 │   25 │   70 │   50 │   48 │   52 │   40 │   59 │
│ 66  │ 黃蓋   │   58 │    1 │    1 │    2 │    3 │   74 │   80 │   86 │   66 │   48 │   81 │  126 │   89 │
│ 67  │ 黃權   │   59 │    1 │    3 │    1 │    3 │   75 │   71 │   45 │   84 │   72 │   64 │   57 │   70 │
│ 68  │ 高順   │ 8CE1 │    2 │    0 │    1 │    2 │   54 │   27 │   60 │   54 │   43 │   69 │   11 │   73 │
│ 69  │ 侯成   │   60 │    1 │    2 │    1 │    3 │   65 │   24 │   67 │   42 │   40 │   39 │   18 │   36 │
│ 70  │ 侯選   │ 9E0A │    1 │    2 │    1 │    3 │   62 │   31 │   70 │   35 │   30 │   60 │    8 │   53 │
│ 71  │ 黃祖   │   61 │    1 │    3 │    1 │    3 │   63 │   20 │   66 │   43 │   39 │   31 │   40 │   40 │
│ 72  │ 公孫度 │ 921E │    2 │    2 │    2 │    1 │   72 │   72 │   74 │   61 │   53 │   71 │   10 │   62 │
│ 73  │ 王匡   │ 8ECA │    1 │    2 │    1 │    2 │   47 │   25 │   51 │   40 │   35 │   45 │  120 │   47 │
│ 74  │ 袁熙   │    1 │    1 │    2 │    1 │    1 │   57 │   22 │   58 │   63 │   65 │   52 │  101 │   70 │
│ 75  │ 高覽   │  178 │    1 │    3 │    1 │    2 │   72 │   70 │   75 │   50 │   30 │   72 │   31 │   60 │
│ 76  │ 胡才   │ 86EC │    2 │    0 │    1 │    2 │   64 │   21 │   69 │   62 │   49 │   41 │   86 │   72 │
│ 77  │ 顧雍   │  201 │    0 │    3 │    1 │    2 │   17 │   13 │   18 │   72 │   75 │   75 │  127 │   80 │
│ 78  │ 吳懿   │   68 │    1 │    3 │    1 │    3 │   70 │   70 │   71 │   69 │   74 │   75 │   60 │   80 │
│ 79  │ 審配   │   77 │    2 │    1 │    1 │    3 │   73 │   72 │   71 │   67 │   80 │   75 │  102 │   90 │
│ 80  │ 蔡勳   │ 8688 │    1 │    3 │    1 │    0 │   63 │   24 │   65 │   56 │   52 │   60 │   36 │   57 │
│ 81  │ 甘寧   │   38 │    1 │    3 │    1 │    3 │   84 │   72 │   91 │   54 │   42 │   58 │  127 │   76 │
│ 82  │ 蔡融   │ CCF9 │    2 │    0 │    1 │    1 │   41 │   27 │   45 │   59 │   62 │   38 │  107 │   52 │
│ 83  │ 左靈   │ CC22 │    1 │    1 │    1 │    3 │   52 │   18 │   53 │   61 │   68 │   42 │    3 │   69 │
│ 84  │ 審榮   │ 8531 │    1 │    1 │    1 │    2 │   45 │   24 │   55 │   48 │   52 │   49 │  121 │   34 │
│ 85  │ 高幹   │ 85AA │    1 │    2 │    1 │    3 │   42 │   18 │   61 │   30 │   28 │   41 │  103 │   55 │
│ 86  │ 辛評   │  203 │    1 │    3 │    1 │    2 │   63 │   23 │   70 │   65 │   58 │   64 │  115 │   70 │
│ 87  │ 車冑   │ 9831 │    2 │    0 │    1 │    2 │   70 │   70 │   72 │   60 │   48 │   77 │   21 │   40 │
│ 88  │ 周昕   │ 8245 │    1 │    1 │    1 │    1 │   52 │   22 │   71 │   39 │   28 │   36 │   33 │   45 │
│ 89  │ 周倉   │   72 │    2 │    1 │    1 │    3 │   82 │   70 │   85 │   30 │   24 │   58 │   73 │   78 │
│ 90  │ 周泰   │   81 │    2 │    1 │    1 │    3 │   78 │   72 │   84 │   53 │   47 │   61 │  124 │   75 │
│ 91  │ 周瑜   │   73 │    2 │    3 │    1 │    1 │   73 │  100 │   75 │   96 │   86 │   95 │  125 │   97 │
│ 92  │ 朱光   │ 8EF8 │    1 │    2 │    0 │    3 │   69 │   26 │   74 │   48 │   42 │   61 │   32 │   51 │
│ 93  │ 朱俊   │ 9C4C │    1 │    2 │    2 │    0 │   78 │   70 │   75 │   60 │   74 │   80 │   88 │   84 │
│ 94  │ 朱治   │ 8474 │    1 │    3 │    1 │    0 │   45 │   40 │   57 │   48 │   32 │   48 │  121 │   64 │
│ 95  │ 蔣義渠 │  183 │    2 │    0 │    2 │    1 │   63 │   23 │   71 │   35 │   30 │   60 │  105 │   54 │
│ 96  │ 尚弘   │ C083 │    1 │    1 │    2 │    0 │   36 │   14 │   43 │   54 │   62 │   62 │   84 │   83 │
│ 97  │ 焦觸   │ 9A9B │    1 │    1 │    1 │    3 │   61 │   18 │   65 │   34 │   30 │   50 │  110 │   55 │
│ 98  │ 鍾繇   │   85 │    1 │    3 │    2 │    1 │   11 │    6 │   15 │   68 │   77 │   30 │   33 │   60 │
│ 99  │ 向朗   │ C07B │    1 │    2 │    1 │    3 │   40 │   19 │   52 │   69 │   74 │   63 │   79 │   75 │
│ 100 │ 荀彧   │   87 │    0 │    2 │    2 │    0 │   62 │   60 │   37 │   96 │   85 │   85 │   27 │   90 │
│ 101 │ 淳于瓊 │  170 │    2 │    1 │    1 │    3 │   68 │   24 │   73 │   62 │   50 │   61 │   95 │   60 │
│ 102 │ 荀諶   │ D662 │    2 │    0 │    1 │    3 │   44 │   10 │   49 │   57 │   72 │   48 │  105 │   58 │
│ 103 │ 荀爽   │ D689 │    1 │    0 │    0 │    3 │   39 │   16 │   45 │   70 │   77 │   76 │    8 │   83 │
│ 104 │ 荀攸   │   88 │    2 │    0 │    2 │    0 │   60 │   58 │   40 │   94 │   85 │   70 │   27 │   81 │
│ 105 │ 徐庶   │   91 │    0 │    3 │    2 │    1 │   85 │   74 │   65 │   95 │   87 │   85 │   65 │   79 │
│ 106 │ 鄒靖   │ 8D64 │    1 │    3 │    1 │    3 │   54 │   23 │   62 │   60 │   47 │   68 │   65 │   63 │
│ 107 │ 成宜   │ 89B8 │    1 │    3 │    1 │    1 │   59 │   21 │   63 │   38 │   32 │   39 │   70 │   60 │
│ 108 │ 薛蘭   │ 8154 │    1 │    3 │    1 │    2 │   55 │   20 │   61 │   51 │   39 │   46 │   14 │   68 │
│ 109 │ 薛禮   │ 9A81 │    0 │    2 │    2 │    1 │   59 │   22 │   62 │   54 │   42 │   67 │  102 │   49 │
│ 110 │ 宋憲   │ 9C09 │    1 │    3 │    1 │    2 │   50 │   42 │   59 │   45 │   41 │   33 │   14 │   32 │
│ 111 │ 宋謙   │ 983C │    2 │    0 │    1 │    3 │   63 │   51 │   68 │   30 │   22 │   52 │  128 │   64 │
│ 112 │ 曹昂   │   96 │    1 │    3 │    1 │    0 │   58 │   19 │   60 │   54 │   50 │   67 │   25 │   93 │
│ 113 │ 曹洪   │   95 │    2 │    0 │    1 │    3 │   74 │   72 │   74 │   47 │   41 │   75 │   25 │   80 │
│ 114 │ 曹仁   │  101 │    2 │    3 │    2 │    3 │   79 │   72 │   83 │   62 │   57 │   67 │   25 │   85 │
│ 115 │ 曹純   │  100 │    1 │    3 │    1 │    2 │   54 │   20 │   60 │   51 │   42 │   43 │   24 │   60 │
│ 116 │ 曹性   │ 916A │    3 │    3 │    2 │    0 │   66 │   25 │   70 │   57 │   52 │   49 │   12 │   63 │
│ 117 │ 宋忠   │ C9B9 │    0 │    3 │    1 │    1 │   29 │   13 │   33 │   41 │   55 │   60 │   38 │   64 │
│ 118 │ 曹豹   │ 8885 │    0 │    3 │    0 │    1 │   52 │   18 │   52 │   24 │   20 │   21 │   84 │   56 │
│ 119 │ 辛毘   │   86 │    1 │    3 │    2 │    0 │   42 │   21 │   50 │   74 │   79 │   83 │   17 │   72 │
│ 120 │ 蘇飛   │ 8CEC │    1 │    3 │    1 │    3 │   68 │   30 │   69 │   30 │   16 │   73 │   50 │   66 │
│ 121 │ 孫乾   │  106 │    2 │    1 │    2 │    1 │   34 │   21 │   38 │   70 │   77 │   90 │   77 │   86 │
│ 122 │ 賈華   │ 82A3 │    1 │    3 │    1 │    3 │   58 │   38 │   62 │   60 │   59 │   52 │  115 │   65 │
│ 123 │ 孫靜   │ 8873 │    0 │    1 │    3 │    1 │   64 │   42 │   69 │   63 │   58 │   65 │  125 │   78 │
│ 124 │ 臧霸   │ 9084 │    2 │    0 │    2 │    1 │   57 │   14 │   62 │   54 │   43 │   67 │   16 │   72 │
│ 125 │ 吳景   │ 917E │    1 │    2 │    2 │    2 │   59 │   30 │   64 │   58 │   53 │   58 │  127 │   62 │
│ 126 │ 陳橫   │ 9683 │    1 │    3 │    1 │    2 │   52 │   23 │   62 │   48 │   39 │   56 │  102 │   62 │
